Voltage.EMG01_r_gastro,Voltage.EMG02_r_soleus,Voltage.EMG03_r_rect_fem,Voltage.EMG04_r_tfl,Voltage.EMG05_r_semimemb,Voltage.EMG06_l_gastro,Voltage.EMG07_l_soleus,Voltage.EMG08_l_rect_fem,Voltage.EMG09_l_tfl,Voltage.EMG10_l_semimemb,
-0.006062622,0.005700378,0.027200928,0.044219054,0.049853515,0.010643311,0.032516785,0.068100892,-0.006002808,-0.004188538,
-0.01842224,0.031029968,0.045053709,0.025298156,0.03215332,0.011253662,0.024277039,0.023545228,-0.000509644,0.005119324,
0.055735473,0.078789979,0.037119139,0.026671447,0.027270507,0.015678711,0.041214295,0.023240052,0.004983521,0.080955505,
0.026896363,0.082146913,0.022318115,0.01629547,0.036730956,0.003929443,0.030227967,0.032700501,-0.012411499,0.0885849,
-0.007283325,0.065362245,0.034067381,0.028349914,0.016894531,0.017357178,0.054489441,0.034378968,0.013070678,0.036247253,
0.038340453,0.072381288,0.027658692,0.01278595,0.039019775,0.025291748,0.023056336,0.023240052,0.005441284,0.064323425,
0.026286012,0.073144227,0.022165528,0.025450744,0.036425781,0.027580567,0.034653015,0.020340882,-0.009970093,0.051353455,
0.020945435,0.085351259,0.017893067,0.028655089,0.048937988,0.0259021,0.0285495,0.030869447,-0.008901978,0.048454285,
0.003703003,0.072381288,-0.012166748,0.024077453,0.026965331,0.063133545,0.025802918,0.030716859,0.02237854,0.045097351,
-0.01414978,0.077416688,0.040781248,0.035674132,0.035510253,0.030479737,0.03938324,0.03498932,0.006967163,0.050285339,
0.004771118,0.036980897,0.022623291,0.032622375,0.030627441,0.014000244,0.031906433,0.023850404,0.006204224,0.04372406,
0.01545227,-0.066931456,0.02125,0.00988678,0.019946288,0.023765869,0.011307068,0.025681458,0.011849975,0.064628601,
0.02353943,-0.10141632,0.034219969,0.020567931,0.066790774,0.028343506,0.023971863,0.044754945,0.001626587,0.042198181,
0.039866332,-0.138952941,0.030252686,0.032012023,0.036273193,0.039177246,0.041214295,0.025681458,-0.003256225,0.044639587,
0.037272338,-0.136511534,0.018198242,0.038878478,0.037493896,0.034904785,0.04518158,0.027817689,-0.016378785,0.035942078,
0.020029908,-0.114081115,0.031473387,0.037352599,0.034442138,0.036888428,0.023666687,0.033921205,-5.19E-05,0.03792572,
0.04505432,-0.08692047,0.041239012,0.024535216,0.038714599,0.030327149,0.038925476,0.030716859,0.00361023,0.050590515,
0.042765502,-0.073950499,0.033762205,0.037200011,0.037646484,0.020408936,0.038772888,0.028580628,0.003457642,0.047080994,
0.051005248,-0.046942443,0.029794922,0.047118224,0.024218749,0.023155518,0.038925476,0.034073792,0.005136108,0.055168152,
0.027354127,-0.035040587,0.031168213,-0.002625427,0.032000732,0.031395264,0.020767517,0.022629701,0.010324096,0.048606873,
0.02277649,5.46E-05,0.036661375,0.018126525,0.057940673,0.047264405,0.032364197,0.041092835,0.011697387,0.038078308,
0.040934447,-0.019018861,0.01911377,0.032622375,0.036883544,0.028648682,0.036789246,0.025376283,0.008493042,0.042961121,
0.044901732,-0.020697327,0.023996582,0.043608703,0.048175048,0.041771241,0.041519471,0.029801331,0.016427612,0.046775818,
0.04505432,0.023400573,0.033151854,0.038878478,0.031085204,0.032005616,0.029770203,0.039261781,0.006814575,0.044639587,
0.01331604,0.039269716,0.038034666,0.037962951,0.029406738,0.006676025,0.023208924,0.029496156,0.025430297,0.032737732,
0.046427611,0.047204286,0.002481689,0.041472472,0.025744628,0.024833985,0.035568543,0.032242738,0.023141479,0.037315369,
0.071452029,0.054223329,0.031778563,0.033232726,0.024218749,0.031395264,0.032364197,0.032547913,0.028787231,0.048912048,
0.05375183,0.062768251,0.030252686,0.038268127,0.028033447,0.039940186,0.017257996,0.037430726,0.021920776,0.028160095,
0.025523072,0.094048768,0.025064697,0.07488922,0.049243163,0.039940186,0.052048035,0.032395326,0.008340454,0.014579773,
0.074656375,0.152184755,0.032388914,0.049864806,0.057025146,0.037956543,0.040756531,0.044297181,0.009255981,0.027549744,
0.002024536,0.165002137,0.011636963,0.037810363,0.029559325,0.022850342,0.021530457,0.029496156,0.035653688,0.025566101,
0.001261597,0.211694032,0.016519776,0.031401671,0.025897216,0.028648682,0.013748474,0.027207337,0.009561157,0.043418884,
0.03925598,0.161340028,0.035745848,0.016600646,0.000720215,0.033073731,0.031143494,0.010422668,0.005899048,0.029380798,
0.032542113,0.078484803,0.017435303,0.041319884,0.024523925,0.025596924,0.053573914,0.041245423,0.011849975,0.017326355,
0.081370242,0.016839294,0.002634277,0.045134582,0.017810058,0.011101075,0.035721131,0.024460755,0.016122436,0.038536072,
0.085947879,0.069176942,0.011179199,0.023924865,0.020861816,0.040550537,0.030075379,0.037430726,0.00284729,0.036399841,
0.105936892,0.174004823,0.029489746,0.032164611,0.026507568,0.010338135,0.01771576,0.025071107,0.004983521,0.023429871,
0.084116824,0.262353212,0.023996582,0.014159241,0.027575683,0.034447022,0.032516785,0.02842804,0.001473999,0.023429871,
0.085184939,0.321862489,0.026895752,0.037810363,0.03215332,0.028343506,0.062729187,0.027817689,0.013375854,0.008934021,
